Date,Irradiance(MJ/m2)
2012/1/1,8.02
2012/1/2,8.14
2012/1/3,8.59
2012/1/4,10.49
2012/1/5,11.29
2012/1/6,9.89
2012/1/7,12.42
2012/1/8,12.34
2012/1/9,11.63
2012/1/10,9.73
2012/1/11,9.32
2012/1/12,10.12
2012/1/13,12.46
2012/1/14,10.24
2012/1/15,6.78
2012/1/16,3.94
2012/1/17,10.97
2012/1/18,10.49
2012/1/19,7.69
2012/1/20,1.52
2012/1/21,1.49
2012/1/22,3.78
2012/1/23,3.09
2012/1/24,10.39
2012/1/25,12.74
2012/1/26,13.91
2012/1/27,12.17
2012/1/28,11.34
2012/1/29,14.29
2012/1/30,14.74
2012/1/31,14.24
2012/2/1,10.96
2012/2/2,13.24
2012/2/3,15.07
2012/2/4,15.02
2012/2/5,10.59
2012/2/6,2.29
2012/2/7,1.8
2012/2/8,4.88
2012/2/9,16.14
2012/2/10,14.11
2012/2/11,14.61
2012/2/12,16.58
2012/2/13,11.04
2012/2/14,1.29
2012/2/15,6.39
2012/2/16,3.12
2012/2/17,14.52
2012/2/18,17.94
2012/2/19,17.45
2012/2/20,17.87
2012/2/21,17.2
2012/2/22,9.29
2012/2/23,5.55
2012/2/24,16.53
2012/2/25,2.07
2012/2/26,7.12
2012/2/27,16.26
2012/2/28,16.17
2012/2/29,2.35
2012/3/1,12.12
2012/3/2,1.68
2012/3/3,16.58
2012/3/4,3.81
2012/3/5,1.8
2012/3/6,10.82
2012/3/7,7.64
2012/3/8,5.85
2012/3/9,2.15
2012/3/10,4.48
2012/3/11,16.3
2012/3/12,16.16
2012/3/13,21.72
2012/3/14,19.65
2012/3/15,21.35
2012/3/16,18.47
2012/3/17,1.62
2012/3/18,3.68
2012/3/19,17.68
2012/3/20,20.78
2012/3/21,22.87
2012/3/22,13.73
2012/3/23,2.86
2012/3/24,4.28
2012/3/25,18.22
2012/3/26,18
2012/3/27,23.51
2012/3/28,19.09
2012/3/29,23.7
2012/3/30,11.51
2012/3/31,6.53
2012/4/1,22.28
2012/4/2,22.38
2012/4/3,8
2012/4/4,22.52
2012/4/5,22.6
2012/4/6,22.18
2012/4/7,21.55
2012/4/8,24.54
2012/4/9,23.89
2012/4/10,21.78
2012/4/11,4.49
2012/4/12,25.52
2012/4/13,18.11
2012/4/14,1.95
2012/4/15,22.73
2012/4/16,17.38
2012/4/17,12.53
2012/4/18,20.44
2012/4/19,10.83
2012/4/20,10.1
2012/4/21,8.49
2012/4/22,5.85
2012/4/23,3.57
2012/4/24,22.18
2012/4/25,18.25
2012/4/26,8.01
2012/4/27,3.55
2012/4/28,23.13
2012/4/29,24.47
2012/4/30,11.89
2012/5/1,13.9
2012/5/2,4.52
2012/5/3,2.62
2012/5/4,9.86
2012/5/5,27.47
2012/5/6,20.94
2012/5/7,25.11
2012/5/8,19.76
2012/5/9,5.94
2012/5/10,18.55
2012/5/11,26.35
2012/5/12,22.03
2012/5/13,26.94
2012/5/14,26.28
2012/5/15,3.23
2012/5/16,23.8
2012/5/17,19.13
2012/5/18,19.93
2012/5/19,27.84
2012/5/20,19.69
2012/5/21,18.63
2012/5/22,2.39
2012/5/23,26.04
2012/5/24,23.9
2012/5/25,7.63
2012/5/26,21.73
2012/5/27,28.34
2012/5/28,21.42
2012/5/29,19.81
2012/5/30,18.59
2012/5/31,19.97
2012/6/1,16.01
2012/6/2,21.11
2012/6/3,15.78
2012/6/4,24.56
2012/6/5,9.6
2012/6/6,7.17
2012/6/7,25.22
2012/6/8,24.73
2012/6/9,4.44
2012/6/10,20.68
2012/6/11,8.62
2012/6/12,3
2012/6/13,12.8
2012/6/14,25.13
2012/6/15,21.74
2012/6/16,5.24
2012/6/17,13.85
2012/6/18,22.85
2012/6/19,7
2012/6/20,19.94
2012/6/21,10.95
2012/6/22,6.69
2012/6/23,15.25
2012/6/24,18.05
2012/6/25,7.5
2012/6/26,30.29
2012/6/27,26.35
2012/6/28,16.24
2012/6/29,19.92
2012/6/30,21.96
2012/7/1,10.88
2012/7/2,15.38
2012/7/3,10.89
2012/7/4,26.05
2012/7/5,14.89
2012/7/6,8.89
2012/7/7,2.46
2012/7/8,17.69
2012/7/9,27.65
2012/7/10,27.65
2012/7/11,26.08
2012/7/12,6.31
2012/7/13,15.79
2012/7/14,21.35
2012/7/15,24.33
2012/7/16,24.85
2012/7/17,25.19
2012/7/18,21.7
2012/7/19,22.69
2012/7/20,3.96
2012/7/21,5.65
2012/7/22,1.48
2012/7/23,11.45
2012/7/24,15.74
2012/7/25,19.92
2012/7/26,22.02
2012/7/27,23.3
2012/7/28,22.62
2012/7/29,23.77
2012/7/30,26.3
2012/7/31,26.53
2012/8/1,17.54
2012/8/2,23.41
2012/8/3,22.68
2012/8/4,11.57
2012/8/5,26.14
2012/8/6,7.57
2012/8/7,19.54
2012/8/8,19.56
2012/8/9,20.05
2012/8/10,20.18
2012/8/11,14.2
2012/8/12,13.73
2012/8/13,24.51
2012/8/14,10.27
2012/8/15,16.29
2012/8/16,20.66
2012/8/17,20.6
2012/8/18,11.75
2012/8/19,25.49
2012/8/20,20.02
2012/8/21,24.73
2012/8/22,23.62
2012/8/23,25.26
2012/8/24,23.95
2012/8/25,23.28
2012/8/26,23.37
2012/8/27,24.34
2012/8/28,21.89
2012/8/29,18.08
2012/8/30,19.92
2012/8/31,20.25
2012/9/1,14.02
2012/9/2,10.47
2012/9/3,11.66
2012/9/4,17.08
2012/9/5,19.27
2012/9/6,13.41
2012/9/7,14.89
2012/9/8,16.82
2012/9/9,21.94
2012/9/10,19.94
2012/9/11,21.93
2012/9/12,20.53
2012/9/13,21.47
2012/9/14,18.62
2012/9/15,18.92
2012/9/16,14.03
2012/9/17,14.04
2012/9/18,14.71
2012/9/19,7.19
2012/9/20,19.41
2012/9/21,7.44
2012/9/22,9.03
2012/9/23,1.92
2012/9/24,16.71
2012/9/25,3.96
2012/9/26,15.35
2012/9/27,14.58
2012/9/28,7.39
2012/9/29,14.86
2012/9/30,14.08
2012/10/1,20.09
2012/10/2,9.07
2012/10/3,1.7
2012/10/4,16.47
2012/10/5,16.36
2012/10/6,12.82
2012/10/7,6.02
2012/10/8,15.5
2012/10/9,10.4
2012/10/10,13.73
2012/10/11,14
2012/10/12,15.23
2012/10/13,17.38
2012/10/14,4.98
2012/10/15,15.85
2012/10/16,17.52
2012/10/17,10.21
2012/10/18,2.45
2012/10/19,16.83
2012/10/20,13.85
2012/10/21,17
2012/10/22,11.37
2012/10/23,7.33
2012/10/24,16.31
2012/10/25,6.43
2012/10/26,15.37
2012/10/27,9.8
2012/10/28,3.96
2012/10/29,15.5
2012/10/30,7.41
2012/10/31,9.36
2012/11/1,13.73
2012/11/2,15.16
2012/11/3,9.79
2012/11/4,15.53
2012/11/5,4.19
2012/11/6,1
2012/11/7,13
2012/11/8,13.52
2012/11/9,10.93
2012/11/10,14.43
2012/11/11,4.62
2012/11/12,6.67
2012/11/13,7.77
2012/11/14,12.28
2012/11/15,12.85
2012/11/16,13.58
2012/11/17,1.62
2012/11/18,13.51
2012/11/19,3.21
2012/11/20,12.93
2012/11/21,13.42
2012/11/22,6.99
2012/11/23,2.23
2012/11/24,7.08
2012/11/25,12.75
2012/11/26,1.76
2012/11/27,12.84
2012/11/28,3.51
2012/11/29,9.81
2012/11/30,3.37
2012/12/1,5.37
2012/12/2,8.19
2012/12/3,2.08
2012/12/4,3.79
2012/12/5,11.07
2012/12/6,11.74
2012/12/7,11.22
2012/12/8,11.45
2012/12/9,12.31
2012/12/10,11.26
2012/12/11,11.6
2012/12/12,11.53
2012/12/13,11.88
2012/12/14,9.71
2012/12/15,1.61
2012/12/16,11.49
2012/12/17,1.78
2012/12/18,8.74
2012/12/19,10.35
2012/12/20,10.94
2012/12/21,6.74
2012/12/22,2.12
2012/12/23,3.54
2012/12/24,11.69
2012/12/25,11.09
2012/12/26,11.72
2012/12/27,11.56
2012/12/28,3.52
2012/12/29,10.42
2012/12/30,1.02
2012/12/31,3.63
2013/1/1,11.49
2013/1/2,11.23
2013/1/3,10.44
2013/1/4,12.58
2013/1/5,5.16
2013/1/6,8.67
2013/1/7,9.2
2013/1/8,10.7
2013/1/9,9.6
2013/1/10,11.49
2013/1/11,12.79
2013/1/12,10.24
2013/1/13,11.78
2013/1/14,0.3
2013/1/15,12.4
2013/1/16,6.57
2013/1/17,11.29
2013/1/18,13.64
2013/1/19,12.81
2013/1/20,13.32
2013/1/21,10.82
2013/1/22,4.77
2013/1/23,9.32
2013/1/24,10.35
2013/1/25,10.59
2013/1/26,11.77
2013/1/27,14.08
2013/1/28,12.41
2013/1/29,14
2013/1/30,13.51
2013/1/31,13.76
2013/2/1,11.83
2013/2/2,8.75
2013/2/3,14.04
2013/2/4,10.39
2013/2/5,12.06
2013/2/6,2.01
2013/2/7,13.03
2013/2/8,10.03
2013/2/9,14.02
2013/2/10,15.71
2013/2/11,15.04
2013/2/12,7.56
2013/2/13,16.63
2013/2/14,8.03
2013/2/15,2.49
2013/2/16,17.64
2013/2/17,13.89
2013/2/18,3.83
2013/2/19,1.89
2013/2/20,15.34
2013/2/21,16.25
2013/2/22,13.34
2013/2/23,17.6
2013/2/24,18.48
2013/2/25,19.28
2013/2/26,18.32
2013/2/27,4.42
2013/2/28,18.29
2013/3/1,8.88
2013/3/2,18.76
2013/3/3,11.42
2013/3/4,10.61
2013/3/5,18.24
2013/3/6,10.64
2013/3/7,15.2
2013/3/8,16.97
2013/3/9,19.14
2013/3/10,13.49
2013/3/11,21.48
2013/3/12,20.76
2013/3/13,18.36
2013/3/14,10.71
2013/3/15,20.6
2013/3/16,20.73
2013/3/17,20.11
2013/3/18,12.62
2013/3/19,20.81
2013/3/20,15.39
2013/3/21,22.84
2013/3/22,20.6
2013/3/23,14.51
2013/3/24,8.42
2013/3/25,2.3
2013/3/26,17.84
2013/3/27,2.89
2013/3/28,17.2
2013/3/29,10.79
2013/3/30,2.38
2013/3/31,3.17
2013/4/1,20.11
2013/4/2,3.96
2013/4/3,3.23
2013/4/4,22.15
2013/4/5,22.02
2013/4/6,8.62
2013/4/7,22.91
2013/4/8,26.21
2013/4/9,20.03
2013/4/10,13.64
2013/4/11,17.71
2013/4/12,22.63
2013/4/13,25.64
2013/4/14,19.55
2013/4/15,23.79
2013/4/16,23.4
2013/4/17,11.54
2013/4/18,22.36
2013/4/19,8.45
2013/4/20,3.64
2013/4/21,5.56
2013/4/22,26.93
2013/4/23,22.31
2013/4/24,3.84
2013/4/25,21.52
2013/4/26,25.28
2013/4/27,26.97
2013/4/28,27.78
2013/4/29,22.93
2013/4/30,7.6
2013/5/1,14.73
2013/5/2,19.08
2013/5/3,24.58
2013/5/4,26.22
2013/5/5,27.35
2013/5/6,26.56
2013/5/7,29.26
2013/5/8,27.81
2013/5/9,26.28
2013/5/10,20.85
2013/5/11,3.18
2013/5/12,25.67
2013/5/13,14.69
2013/5/14,26.29
2013/5/15,25.89
2013/5/16,20.82
2013/5/17,28.98
2013/5/18,23.64
2013/5/19,24.43
2013/5/20,4.59
2013/5/21,18.89
2013/5/22,27.01
2013/5/23,25.39
2013/5/24,29.01
2013/5/25,19.37
2013/5/26,17.63
2013/5/27,22.11
2013/5/28,17.71
2013/5/29,11.2
2013/5/30,3.03
2013/5/31,28.09
2013/6/1,21.61
2013/6/2,23.46
2013/6/3,25.3
2013/6/4,28.41
2013/6/5,27.25
2013/6/6,15.34
2013/6/7,16.6
2013/6/8,21.82
2013/6/9,25.11
2013/6/10,14.43
2013/6/11,4.26
2013/6/12,4.56
2013/6/13,3.75
2013/6/14,8.79
2013/6/15,21.79
2013/6/16,9.04
2013/6/17,21.61
2013/6/18,18
2013/6/19,3.49
2013/6/20,2.82
2013/6/21,4.28
2013/6/22,19.68
2013/6/23,21.32
2013/6/24,14.99
2013/6/25,9.68
2013/6/26,3.36
2013/6/27,26
2013/6/28,20.31
2013/6/29,21.61
2013/6/30,19.37
2013/7/1,14.01
2013/7/2,23.38
2013/7/3,14.08
2013/7/4,7.9
2013/7/5,8.26
2013/7/6,25.09
2013/7/7,27.35
2013/7/8,24.85
2013/7/9,26.93
2013/7/10,25.07
2013/7/11,25.3
2013/7/12,24.69
2013/7/13,14.48
2013/7/14,18.32
2013/7/15,20.42
2013/7/16,17.95
2013/7/17,13.53
2013/7/18,18.28
2013/7/19,21.95
2013/7/20,17.5
2013/7/21,23.65
2013/7/22,22.14
2013/7/23,17.45
2013/7/24,3.7
2013/7/25,4.61
2013/7/26,19.17
2013/7/27,17.92
2013/7/28,22.08
2013/7/29,5.35
2013/7/30,13.52
2013/7/31,11.18
2013/8/1,13.54
2013/8/2,18.29
2013/8/3,20.02
2013/8/4,15.15
2013/8/5,20.16
2013/8/6,14.3
2013/8/7,21.93
2013/8/8,18.03
2013/8/9,22.58
2013/8/10,21.52
2013/8/11,18.82
2013/8/12,19.14
2013/8/13,21.77
2013/8/14,20.77
2013/8/15,24.21
2013/8/16,22.43
2013/8/17,22.14
2013/8/18,22.48
2013/8/19,24.02
2013/8/20,18.33
2013/8/21,12.05
2013/8/22,11.71
2013/8/23,4.81
2013/8/24,12.87
2013/8/25,3.81
2013/8/26,14.6
2013/8/27,23.16
2013/8/28,23.95
2013/8/29,16.77
2013/8/30,22.75
2013/8/31,19.16
2013/9/1,23.01
2013/9/2,17.34
2013/9/3,20.83
2013/9/4,12.51
2013/9/5,8.22
2013/9/6,8.33
2013/9/7,10.24
2013/9/8,7.55
2013/9/9,16.15
2013/9/10,13.81
2013/9/11,8.43
2013/9/12,21.68
2013/9/13,19.22
2013/9/14,15.12
2013/9/15,7.64
2013/9/16,3.96
2013/9/17,13.06
2013/9/18,17.31
2013/9/19,11.95
2013/9/20,20.85
2013/9/21,19.23
2013/9/22,15.48
2013/9/23,8.9
2013/9/24,11.17
2013/9/25,5.03
2013/9/26,7.06
2013/9/27,20.16
2013/9/28,16.74
2013/9/29,15.08
2013/9/30,16.55
2013/10/1,5.32
2013/10/2,4.91
2013/10/3,16.93
2013/10/4,2.45
2013/10/5,2
2013/10/6,8.54
2013/10/7,9.04
2013/10/8,15.44
2013/10/9,14.42
2013/10/10,9.09
2013/10/11,15.38
2013/10/12,15.92
2013/10/13,17.99
2013/10/14,15.92
2013/10/15,2.68
2013/10/16,9.62
2013/10/17,14.48
2013/10/18,12.6
2013/10/19,7.4
2013/10/20,1.42
2013/10/21,8.51
2013/10/22,4.47
2013/10/23,6.35
2013/10/24,3.37
2013/10/25,4.53
2013/10/26,3.38
2013/10/27,16.23
2013/10/28,15.02
2013/10/29,2.57
2013/10/30,12.89
2013/10/31,13.49
2013/11/1,13.85
2013/11/2,3.33
2013/11/3,8.55
2013/11/4,4.55
2013/11/5,13.92
2013/11/6,12.65
2013/11/7,3.02
2013/11/8,13.73
2013/11/9,3.93
2013/11/10,4.69
2013/11/11,8.48
